originregion_id,originregion_name,destinationregion_id,destinationregion_name,origin_iso,origin_name,destination_iso,destination_name,regionflow_2013,regionflow_2014,countryflow_2013,countryflow_2014
1,America,1,America,SLV,El Salvador,HTI,Haiti,0,0,0,0
1,America,1,America,SLV,El Salvador,MEX,Mexico,0,0,0,0
1,America,1,America,SLV,El Salvador,PAN,Panama,0,0,0,0
1,America,1,America,SLV,El Salvador,PER,Peru,0,0,0,0
1,America,1,America,SLV,El Salvador,SLV,El Salvador,0,0,0,0
1,America,1,America,SLV,El Salvador,USA,United States,1171,0,1171,0
1,America,1,America,SLV,El Salvador,VCT,Saint Vincent & Grenadines,0,0,0,0
1,America,1,America,SLV,El Salvador,VEN,Venezuela,0,0,0,0
1,America,1,America,USA,United States,BRA,Brazil,0,0,0,0
1,America,1,America,USA,United States,CAN,Canada,0,236,0,236
1,America,1,America,USA,United States,COL,Colombia,3853,0,3853,0
1,America,1,America,USA,United States,CRI,Costa Rica,0,0,0,0
1,America,1,America,USA,United States,CUB,Cuba,0,0,0,0
1,America,1,America,USA,United States,ECU,Ecuador,0,0,0,0
1,America,1,America,USA,United States,GTM,Guatemala,0,0,0,0
1,America,1,America,USA,United States,HND,Honduras,0,0,0,0
1,America,1,America,USA,United States,HTI,Haiti,958,1721,958,1721
1,America,1,America,USA,United States,MEX,Mexico,0,0,0,0
1,America,1,America,USA,United States,PAN,Panama,0,0,0,0
1,America,1,America,USA,United States,PER,Peru,0,0,0,0
1,America,1,America,USA,United States,SLV,El Salvador,0,1048,0,1048
1,America,1,America,USA,United States,USA,United States,0,0,0,0
1,America,1,America,USA,United States,VCT,Saint Vincent & Grenadines,0,0,0,0
1,America,1,America,USA,United States,VEN,Venezuela,0,463,0,463
1,America,1,America,VCT,Saint Vincent & Grenadines,BRA,Brazil,0,0,0,0
1,America,1,America,VCT,Saint Vincent & Grenadines,CAN,Canada,0,199,0,199
1,America,1,America,VCT,Saint Vincent & Grenadines,COL,Colombia,0,0,0,0
1,America,1,America,VCT,Saint Vincent & Grenadines,CRI,Costa Rica,0,0,0,0
1,America,1,America,VCT,Saint Vincent & Grenadines,CUB,Cuba,0,0,0,0
1,America,1,America,VCT,Saint Vincent & Grenadines,ECU,Ecuador,0,0,0,0
1,America,1,America,VCT,Saint Vincent & Grenadines,GTM,Guatemala,0,0,0,0
1,America,1,America,VCT,Saint Vincent & Grenadines,HND,Honduras,0,0,0,0
1,America,1,America,VCT,Saint Vincent & Grenadines,HTI,Haiti,0,0,0,0
1,America,1,America,VCT,Saint Vincent & Grenadines,MEX,Mexico,0,0,0,0
1,America,1,America,VCT,Saint Vincent & Grenadines,PAN,Panama,0,0,0,0
1,America,1,America,VCT,Saint Vincent & Grenadines,PER,Peru,0,0,0,0
1,America,1,America,VCT,Saint Vincent & Grenadines,SLV,El Salvador,0,0,0,0
1,America,1,America,VCT,Saint Vincent & Grenadines,USA,United States,0,0,0,0
1,America,1,America,VCT,Saint Vincent & Grenadines,VCT,Saint Vincent & Grenadines,0,0,0,0
1,America,1,America,VCT,Saint Vincent & Grenadines,VEN,Venezuela,0,0,0,0
1,America,1,America,VEN,Venezuela,BRA,Brazil,0,0,0,0
1,America,1,America,VEN,Venezuela,CAN,Canada,0,0,0,0
1,America,1,America,VEN,Venezuela,COL,Colombia,0,0,0,0
1,America,1,America,VEN,Venezuela,CRI,Costa Rica,0,0,0,0
1,America,1,America,VEN,Venezuela,CUB,Cuba,0,0,0,0
1,America,1,America,VEN,Venezuela,ECU,Ecuador,0,0,0,0
1,America,1,America,VEN,Venezuela,GTM,Guatemala,0,0,0,0
1,America,1,America,VEN,Venezuela,HND,Honduras,0,0,0,0
1,America,1,America,VEN,Venezuela,HTI,Haiti,0,0,0,0
1,America,1,America,VEN,Venezuela,MEX,Mexico,0,0,0,0
1,America,1,America,VEN,Venezuela,PAN,Panama,0,0,0,0
1,America,1,America,VEN,Venezuela,PER,Peru,0,0,0,0
1,America,1,America,VEN,Venezuela,SLV,El Salvador,0,0,0,0
1,America,1,America,VEN,Venezuela,USA,United States,161,0,161,0
1,America,1,America,VEN,Venezuela,VCT,Saint Vincent & Grenadines,0,0,0,0
1,America,1,America,VEN,Venezuela,VEN,Venezuela,0,0,0,0
2,Africa,1,America,DZA,Algeria,BRA,Brazil,0,0,0,0
2,Africa,1,America,DZA,Algeria,CAN,Canada,0,0,0,0
2,Africa,1,America,DZA,Algeria,COL,Colombia,0,0,0,0
2,Africa,1,America,DZA,Algeria,CRI,Costa Rica,0,0,0,0
2,Africa,1,America,DZA,Algeria,CUB,Cuba,0,0,0,0
2,Africa,1,America,DZA,Algeria,ECU,Ecuador,0,0,0,0
2,Africa,1,America,DZA,Algeria,GTM,Guatemala,0,0,0,0
2,Africa,1,America,DZA,Algeria,HND,Honduras,0,0,0,0
2,Africa,1,America,DZA,Algeria,HTI,Haiti,0,0,0,0
2,Africa,1,America,DZA,Algeria,MEX,Mexico,0,0,0,0
2,Africa,1,America,DZA,Algeria,PAN,Panama,0,0,0,0
2,Africa,1,America,DZA,Algeria,PER,Peru,0,0,0,0
2,Africa,1,America,DZA,Algeria,SLV,El Salvador,0,0,0,0
2,Africa,1,America,DZA,Algeria,USA,United States,0,0,0,0
2,Africa,1,America,DZA,Algeria,VCT,Saint Vincent & Grenadines,0,0,0,0
2,Africa,1,America,DZA,Algeria,VEN,Venezuela,0,0,0,0
2,Africa,1,America,EGY,Egypt,BRA,Brazil,0,0,0,0
2,Africa,1,America,EGY,Egypt,CAN,Canada,0,0,0,0
2,Africa,1,America,EGY,Egypt,COL,Colombia,0,0,0,0
2,Africa,1,America,EGY,Egypt,CRI,Costa Rica,0,0,0,0
2,Africa,1,America,EGY,Egypt,CUB,Cuba,0,0,0,0
2,Africa,1,America,EGY,Egypt,ECU,Ecuador,0,0,0,0
2,Africa,1,America,EGY,Egypt,GTM,Guatemala,0,0,0,0
2,Africa,1,America,EGY,Egypt,HND,Honduras,0,0,0,0
2,Africa,1,America,EGY,Egypt,HTI,Haiti,0,0,0,0
2,Africa,1,America,EGY,Egypt,MEX,Mexico,0,0,0,0
2,Africa,1,America,EGY,Egypt,PAN,Panama,0,0,0,0
2,Africa,1,America,EGY,Egypt,PER,Peru,0,0,0,0
2,Africa,1,America,EGY,Egypt,SLV,El Salvador,0,0,0,0
2,Africa,1,America,EGY,Egypt,USA,United States,2200,0,2200,0
2,Africa,1,America,EGY,Egypt,VCT,Saint Vincent & Grenadines,0,0,0,0
2,Africa,1,America,EGY,Egypt,VEN,Venezuela,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,BRA,Brazil,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,CAN,Canada,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,COL,Colombia,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,CRI,Costa Rica,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,CUB,Cuba,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,ECU,Ecuador,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,GTM,Guatemala,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,HND,Honduras,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,HTI,Haiti,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,MEX,Mexico,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,PAN,Panama,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,PER,Peru,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,SLV,El Salvador,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,USA,United States,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,VCT,Saint Vincent & Grenadines,0,0,0,0
2,Africa,1,America,ESH,Western Sahara,VEN,Venezuela,0,0,0,0
2,Africa,1,America,LBY,Libya,BRA,Brazil,0,0,0,0
2,Africa,1,America,LBY,Libya,CAN,Canada,0,0,0,0
2,Africa,1,America,LBY,Libya,COL,Colombia,0,0,0,0
2,Africa,1,America,LBY,Libya,CRI,Costa Rica,0,0,0,0
2,Africa,1,America,LBY,Libya,CUB,Cuba,0,0,0,0
2,Africa,1,America,LBY,Libya,ECU,Ecuador,0,0,0,0
2,Africa,1,America,LBY,Libya,GTM,Guatemala,0,0,0,0
2,Africa,1,America,LBY,Libya,HND,Honduras,0,0,0,0
2,Africa,1,America,LBY,Libya,HTI,Haiti,0,0,0,0
2,Africa,1,America,LBY,Libya,MEX,Mexico,0,0,0,0
2,Africa,1,America,LBY,Libya,PAN,Panama,0,0,0,0
2,Africa,1,America,LBY,Libya,PER,Peru,0,0,0,0
2,Africa,1,America,LBY,Libya,SLV,El Salvador,0,0,0,0
2,Africa,1,America,LBY,Libya,USA,United States,0,0,0,0
2,Africa,1,America,LBY,Libya,VCT,Saint Vincent & Grenadines,0,0,0,0
2,Africa,1,America,LBY,Libya,VEN,Venezuela,0,0,0,0
2,Africa,1,America,AGO,Angola,BRA,Brazil,0,0,0,0
2,Africa,1,America,AGO,Angola,CAN,Canada,0,0,0,0
2,Africa,1,America,AGO,Angola,COL,Colombia,0,0,0,0
